cafe_id,hour,avg_vehicles,max_vehicles,vacancy_pct,congestion_flag
CAFE_001,2025-03-03T00:00:00,3,5,90.0,0
CAFE_001,2025-03-03T01:00:00,2,3,93.3,0
CAFE_001,2025-03-03T02:00:00,5,7,83.3,0
CAFE_001,2025-03-03T03:00:00,0,2,100.0,0
CAFE_001,2025-03-03T04:00:00,5,7,83.3,0
CAFE_001,2025-03-03T05:00:00,4,8,86.7,0
CAFE_001,2025-03-03T06:00:00,3,5,90.0,0
CAFE_001,2025-03-03T07:00:00,11,12,63.3,0
CAFE_001,2025-03-03T08:00:00,17,18,43.3,0
CAFE_001,2025-03-03T09:00:00,17,17,43.3,0
CAFE_001,2025-03-03T10:00:00,17,21,43.3,0
CAFE_001,2025-03-03T11:00:00,14,15,53.3,0
CAFE_001,2025-03-03T12:00:00,29,30,3.3,1
CAFE_001,2025-03-03T13:00:00,30,30,0.0,1
CAFE_001,2025-03-03T14:00:00,29,30,3.3,1
CAFE_001,2025-03-03T15:00:00,29,29,3.3,1
CAFE_001,2025-03-03T16:00:00,13,14,56.7,0
CAFE_001,2025-03-03T17:00:00,13,13,56.7,0
CAFE_001,2025-03-03T18:00:00,13,14,56.7,0
CAFE_001,2025-03-03T19:00:00,25,28,16.7,1
CAFE_001,2025-03-03T20:00:00,30,30,0.0,1
CAFE_001,2025-03-03T21:00:00,30,30,0.0,1
CAFE_001,2025-03-03T22:00:00,25,25,16.7,0
CAFE_001,2025-03-03T23:00:00,12,16,60.0,0
CAFE_001,2025-03-04T00:00:00,3,5,90.0,0
CAFE_001,2025-03-04T01:00:00,2,3,93.3,0
CAFE_001,2025-03-04T02:00:00,0,3,100.0,0
CAFE_001,2025-03-04T03:00:00,4,5,86.7,0
CAFE_001,2025-03-04T04:00:00,5,5,83.3,0
CAFE_001,2025-03-04T05:00:00,3,4,90.0,0
CAFE_001,2025-03-04T06:00:00,1,1,96.7,0
CAFE_001,2025-03-04T07:00:00,14,14,53.3,0
CAFE_001,2025-03-04T08:00:00,17,17,43.3,0
CAFE_001,2025-03-04T09:00:00,18,18,40.0,0
CAFE_001,2025-03-04T10:00:00,16,17,46.7,0
CAFE_001,2025-03-04T11:00:00,12,14,60.0,0
CAFE_001,2025-03-04T12:00:00,30,30,0.0,1
CAFE_001,2025-03-04T13:00:00,30,30,0.0,1
CAFE_001,2025-03-04T14:00:00,30,30,0.0,1
CAFE_001,2025-03-04T15:00:00,30,30,0.0,1
CAFE_001,2025-03-04T16:00:00,11,12,63.3,0
CAFE_001,2025-03-04T17:00:00,12,14,60.0,0
CAFE_001,2025-03-04T18:00:00,11,13,63.3,0
CAFE_001,2025-03-04T19:00:00,29,30,3.3,1
CAFE_001,2025-03-04T20:00:00,27,28,10.0,1
CAFE_001,2025-03-04T21:00:00,23,24,23.3,0
CAFE_001,2025-03-04T22:00:00,27,30,10.0,1
CAFE_001,2025-03-04T23:00:00,15,17,50.0,0
CAFE_001,2025-03-05T00:00:00,5,7,83.3,0
CAFE_001,2025-03-05T01:00:00,0,3,100.0,0
CAFE_001,2025-03-05T02:00:00,3,5,90.0,0
CAFE_001,2025-03-05T03:00:00,0,3,100.0,0
CAFE_001,2025-03-05T04:00:00,1,3,96.7,0
CAFE_001,2025-03-05T05:00:00,5,8,83.3,0
CAFE_001,2025-03-05T06:00:00,4,4,86.7,0
